0.01,-0.07,-0.207,-0.058,-0.06,-0.352
-0.11,0.03,-0.095,-0.042,0.003,-0.119
-0.02,0.06,-0.266,-0.014,-0.09,-0.363
0.11,-0.06,-0.056,0.047,-0.042,-0.203
-0.06,-0.24,-0.036,-0.041,-0.062,-0.203
-0.01,-0.19,-0.288,-0.117,-0.109,-0.491
0.08,-0.05,-0.265,-0.063,-0.14,-0.362
0,-0.16,-0.25,-0.049,-0.087,-0.449
0.04,0.05,-0.132,-0.104,-0.068,-0.309
0.14,-0.02,-0.156,-0.023,-0.074,-0.331
0.03,0,-0.216,-0.046,-0.096,-0.398
0.11,-0.02,-0.208,0.006,-0.052,-0.349
-0.08,0.08,-0.199,-0.134,-0.084,-0.231
0.02,-0.12,-0.252,-0.09,-0.093,-0.444
0.1,-0.11,-0.022,-0.072,-0.059,-0.277
-0.01,-0.05,-0.137,-0.003,-0.013,-0.253
-0.01,-0.03,-0.293,-0.063,-0.083,-0.375
-0.01,0.04,-0.246,-0.073,-0.05,-0.319
-0.03,0.05,-0.27,-0.054,-0.032,-0.341
0.04,-0.01,0.02,0.094,0.011,-0.077
0.05,-0.07,-0.096,0.036,-0.023,-0.261
-0.11,0.05,-0.112,-0.099,-0.071,-0.298
-0.06,0.09,-0.211,-0.02,-0.023,-0.343
0.04,-0.08,-0.209,-0.024,-0.097,-0.301
-0.09,0.01,-0.153,-0.13,-0.074,-0.182
0.03,0.11,-0.276,-0.037,-0.095,-0.362
-0.04,0.11,-0.233,-0.066,-0.069,-0.425
0.1,-0.09,-0.161,-0.005,-0.062,-0.209
0.04,-0.15,-0.209,0.012,-0.007,-0.44
0.02,-0.09,-0.253,-0.045,-0.052,-0.395
0.08,0.04,-0.118,-0.011,-0.048,-0.214
-0.02,-0.14,-0.116,0.012,0.034,-0.246
-0.02,-0.24,-0.12,-0.035,-0.004,-0.253
-0.01,-0.09,-0.198,-0.111,-0.065,-0.408
0.01,-0.07,-0.125,-0.074,0.005,-0.355
-0.11,0.03,-0.063,-0.08,-0.038,-0.152
-0.02,0.06,-0.208,0.006,-0.079,-0.317
0.11,-0.06,-0.029,0.049,-0.033,-0.226
-0.06,-0.24,-0.084,-0.055,0.014,-0.15
-0.01,-0.19,-0.267,-0.116,-0.089,-0.536
0.08,-0.05,-0.258,-0.041,-0.14,-0.348
0,-0.16,-0.189,-0.117,-0.059,-0.439
0.04,0.05,-0.183,-0.071,-0.052,-0.308
0.14,-0.02,-0.219,0.005,-0.072,-0.342
0.03,0,-0.207,-0.12,-0.108,-0.358
0.11,-0.02,-0.197,-0.012,-0.044,-0.386
-0.08,0.08,-0.23,-0.131,-0.102,-0.244
0.02,-0.12,-0.219,-0.088,-0.098,-0.379
0.1,-0.11,-0.086,-0.061,-0.08,-0.285
-0.01,-0.05,-0.14,-0.006,0.009,-0.216
-0.01,-0.03,-0.248,-0.017,-0.062,-0.424
-0.01,0.04,-0.241,-0.07,-0.069,-0.339
-0.03,0.05,-0.231,-0.031,-0.056,-0.373
0.04,-0.01,0.015,0.081,0.025,-0.086
0.05,-0.07,-0.075,0.028,0.036,-0.281
-0.11,0.05,-0.166,-0.093,-0.057,-0.31
-0.06,0.09,-0.179,-0.022,-0.037,-0.317
0.04,-0.08,-0.188,0.005,-0.101,-0.304
-0.09,0.01,-0.087,-0.098,0.005,-0.12
0.03,0.11,-0.264,-0.038,-0.091,-0.313
-0.04,0.11,-0.256,-0.078,-0.038,-0.397
0.1,-0.09,-0.158,0.032,-0.047,-0.219
0.04,-0.15,-0.194,-0.031,0.014,-0.438
0.02,-0.09,-0.184,-0.053,0.003,-0.386
0.08,0.04,-0.102,-0.062,0.021,-0.207
-0.02,-0.14,-0.059,0.013,0.015,-0.236
-0.02,-0.24,-0.109,-0.051,-0.024,-0.262
-0.01,-0.09,-0.168,-0.115,-0.065,-0.406
